state_name,state_abbr,state_fips,year,month,SEPU
Alaska,AK,2,2000,1,41.3763891322427
Alaska,AK,2,2000,2,239.648103546281
Alaska,AK,2,2000,3,53.2219040053473
Alaska,AK,2,2000,4,49.1808256683142
Alaska,AK,2,2000,5,35.0504330084881
Alaska,AK,2,2000,6,6.29557674642894
Alaska,AK,2,2000,7,52.320078086915
Alaska,AK,2,2000,8,567.87943570315
Alaska,AK,2,2000,9,12.5782527208365
Alaska,AK,2,2000,10,31.872208863538
Alaska,AK,2,2000,11,27.8624277013832
Alaska,AK,2,2000,12,56.3850687514202
Alaska,AK,2,2001,1,136.56811664923
Alaska,AK,2,2001,2,53.7141236427837
Alaska,AK,2,2001,3,31.425623518104
Alaska,AK,2,2001,4,33.2626899326707
Alaska,AK,2,2001,5,16.8730104043844
Alaska,AK,2,2001,6,70.234251417594
Alaska,AK,2,2001,7,24.9092850850285
Alaska,AK,2,2001,8,39.6204946687139
Alaska,AK,2,2001,9,87.7501360156792
Alaska,AK,2,2001,10,38.4343631758313
Alaska,AK,2,2001,11,227.947638381978
Alaska,AK,2,2001,12,62.0987361417198
Alaska,AK,2,2002,1,13.9002986465308
Alaska,AK,2,2002,2,129.150694530501
Alaska,AK,2,2002,3,109.011011817771
Alaska,AK,2,2002,4,201.215500543687
Alaska,AK,2,2002,5,45.6396683797472
Alaska,AK,2,2002,6,72.3047843740931
Alaska,AK,2,2002,7,65.4400117258385
Alaska,AK,2,2002,8,96.8923851721386
Alaska,AK,2,2002,9,67.6729004330697
Alaska,AK,2,2002,10,111.471931378107
Alaska,AK,2,2002,11,80.622717976209
Alaska,AK,2,2002,12,72.1169574557931
Alaska,AK,2,2003,1,102.526891301161
Alaska,AK,2,2003,2,100.629741440405
Alaska,AK,2,2003,3,118.295487449796
Alaska,AK,2,2003,4,49.341136931381
Alaska,AK,2,2003,5,80.9307250637661
Alaska,AK,2,2003,6,191.743398041701
Alaska,AK,2,2003,7,62.9091469306669
Alaska,AK,2,2003,8,113.175410465968
Alaska,AK,2,2003,9,19.2089014831112
Alaska,AK,2,2003,10,115.456640374239
Alaska,AK,2,2003,11,30.2817282157268
Alaska,AK,2,2003,12,38.6700777466493
Alaska,AK,2,2004,1,102.185970969045
Alaska,AK,2,2004,2,268.949350989247
Alaska,AK,2,2004,3,115.773880074745
Alaska,AK,2,2004,4,205.880193594172
Alaska,AK,2,2004,5,25.8968122508297
Alaska,AK,2,2004,6,190.851614533971
Alaska,AK,2,2004,7,69.0894192132572
Alaska,AK,2,2004,8,18.9529026733603
Alaska,AK,2,2004,9,52.7047964649711
Alaska,AK,2,2004,10,30.034910320658
Alaska,AK,2,2004,11,86.46424383164781
Alaska,AK,2,2004,12,99.19019819682271
Alaska,AK,2,2005,1,87.8168104802689
Alaska,AK,2,2005,2,70.04180776566891
Alaska,AK,2,2005,3,46.4215384461362
Alaska,AK,2,2005,4,95.6536220007475
Alaska,AK,2,2005,5,108.225941699304
Alaska,AK,2,2005,6,64.507888796656
Alaska,AK,2,2005,7,26.2286512880596
Alaska,AK,2,2005,8,57.3181862470315
Alaska,AK,2,2005,9,29.1317613153378
Alaska,AK,2,2005,10,30.4281423929241
Alaska,AK,2,2005,11,45.6161134742261
Alaska,AK,2,2005,12,34.1701680955131
Alaska,AK,2,2006,1,147.141649526619
Alaska,AK,2,2006,2,98.0042190500956
Alaska,AK,2,2006,3,48.7569231875247
Alaska,AK,2,2006,4,103.438323247131
Alaska,AK,2,2006,5,138.356972895025
Alaska,AK,2,2006,6,15.6282854144215
Alaska,AK,2,2006,7,57.661335349319
Alaska,AK,2,2006,8,164.768231811639
Alaska,AK,2,2006,9,139.099651879995
Alaska,AK,2,2006,10,135.215967109992
Alaska,AK,2,2006,11,106.269498240465
Alaska,AK,2,2006,12,105.010565972065
Alaska,AK,2,2007,1,19.0292640437221
Alaska,AK,2,2007,2,15.7222812344292
Alaska,AK,2,2007,3,106.73701550346
Alaska,AK,2,2007,4,61.4392802975496
Alaska,AK,2,2007,5,69.12929096679591
Alaska,AK,2,2007,6,34.9463449863216
Alaska,AK,2,2007,7,100.183825610088
Alaska,AK,2,2007,8,63.9805215511964
Alaska,AK,2,2007,9,25.3045340734996
Alaska,AK,2,2007,10,13.7659425553929
Alaska,AK,2,2007,11,30.0944669736231
Alaska,AK,2,2007,12,86.2436951523496
Alaska,AK,2,2008,1,93.458910402705
Alaska,AK,2,2008,2,71.4060194083165
Alaska,AK,2,2008,3,37.0624433081054
Alaska,AK,2,2008,4,162.752778077113
Alaska,AK,2,2008,5,95.0478441765151
Alaska,AK,2,2008,6,92.0780612970259
Alaska,AK,2,2008,7,58.2583548605476
Alaska,AK,2,2008,8,62.081961896111
Alaska,AK,2,2008,9,165.78210821231
Alaska,AK,2,2008,10,97.51996297800881
Alaska,AK,2,2008,11,123.669171093548
Alaska,AK,2,2008,12,134.769034476726
Alaska,AK,2,2009,1,109.710957122075
Alaska,AK,2,2009,2,123.638145487203
Alaska,AK,2,2009,3,169.764677980252
Alaska,AK,2,2009,4,185.77019235603
Alaska,AK,2,2009,5,87.2671556823161
Alaska,AK,2,2009,6,181.628765067058
Alaska,AK,2,2009,7,106.844443224399
Alaska,AK,2,2009,8,188.92656957537
Alaska,AK,2,2009,9,17.5551029574378
Alaska,AK,2,2009,10,160.275795856073
Alaska,AK,2,2009,11,34.7060308837182
Alaska,AK,2,2009,12,168.677324916583
Alaska,AK,2,2010,1,245.848228352913
Alaska,AK,2,2010,2,231.509755649323
Alaska,AK,2,2010,3,208.608103170293
Alaska,AK,2,2010,4,248.573916674171
Alaska,AK,2,2010,5,93.86002863454441
Alaska,AK,2,2010,6,133.643368868593
Alaska,AK,2,2010,7,38.2117084014165
Alaska,AK,2,2010,8,111.401097839617
Alaska,AK,2,2010,9,80.4436177065505
Alaska,AK,2,2010,10,261.295476774976
Alaska,AK,2,2010,11,94.39805187590611
Alaska,AK,2,2010,12,110.369293269584
Alaska,AK,2,2011,1,61.1750392427052
Alaska,AK,2,2011,2,200.265629953601
Alaska,AK,2,2011,3,272.553668655608
Alaska,AK,2,2011,4,190.739980241234
Alaska,AK,2,2011,5,102.305159800176
Alaska,AK,2,2011,6,186.310203472538
Alaska,AK,2,2011,7,121.007963959196
Alaska,AK,2,2011,8,71.2683406946132
Alaska,AK,2,2011,9,161.093454751916
Alaska,AK,2,2011,10,118.127477279889
Alaska,AK,2,2011,11,167.159242706243
Alaska,AK,2,2011,12,93.3263322436021
Alaska,AK,2,2012,1,153.194385614675
Alaska,AK,2,2012,2,99.86240587714749
Alaska,AK,2,2012,3,86.69537009405551
Alaska,AK,2,2012,4,219.76727101187
Alaska,AK,2,2012,5,78.5647766894275
Alaska,AK,2,2012,6,132.547274932753
Alaska,AK,2,2012,7,129.626839694231
Alaska,AK,2,2012,8,212.027872313643
Alaska,AK,2,2012,9,89.9821182113144
Alaska,AK,2,2012,10,29.7907729761907
Alaska,AK,2,2012,11,56.9055780143028
Alaska,AK,2,2012,12,43.1854462667111
Alaska,AK,2,2013,1,141.927896038416
Alaska,AK,2,2013,2,59.7588272153583
Alaska,AK,2,2013,3,104.670497974402
Alaska,AK,2,2013,4,160.912519003007
Alaska,AK,2,2013,5,51.0897983603255
Alaska,AK,2,2013,6,132.434405168357
Alaska,AK,2,2013,7,161.910315746961
Alaska,AK,2,2013,8,90.3329297649521
Alaska,AK,2,2013,9,135.829357846297
Alaska,AK,2,2013,10,141.508596588535
Alaska,AK,2,2013,11,86.6128754325086
Alaska,AK,2,2013,12,138.167588999616
Alaska,AK,2,2014,1,90.24450831998161
Alaska,AK,2,2014,2,159.4202038061
Alaska,AK,2,2014,3,144.81866099707
Alaska,AK,2,2014,4,172.651066172833
Alaska,AK,2,2014,5,119.335570650424
Alaska,AK,2,2014,6,40.0699222223001
Alaska,AK,2,2014,7,135.817868144458
Alaska,AK,2,2014,8,193.204441082712
Alaska,AK,2,2014,9,62.5263663606338
Alaska,AK,2,2014,10,158.503410730035
Alaska,AK,2,2014,11,155.022479085216
Alaska,AK,2,2014,12,187.865574891384
Alaska,AK,2,2015,1,117.165860706413
Alaska,AK,2,2015,2,127.050710545011
Alaska,AK,2,2015,3,136.921759850361
Alaska,AK,2,2015,4,249.746535515247
Alaska,AK,2,2015,5,196.453796756153
Alaska,AK,2,2015,6,156.205935001547
Alaska,AK,2,2015,7,197.659768418653
Alaska,AK,2,2015,8,98.97382292479431
Alaska,AK,2,2015,9,199.659505908024
Alaska,AK,2,2015,10,122.012685414913
Alaska,AK,2,2015,11,89.0849011363471
Alaska,AK,2,2015,12,113.201287974722
Alaska,AK,2,2016,1,184.10401759787
Alaska,AK,2,2016,2,211.653985110307
Alaska,AK,2,2016,3,285.777013884978
Alaska,AK,2,2016,4,277.998586404925
Alaska,AK,2,2016,5,103.759776493585
Alaska,AK,2,2016,6,307.814471017329
Alaska,AK,2,2016,7,165.582995332637
Alaska,AK,2,2016,8,333.485387432889
Alaska,AK,2,2016,9,108.004460252857
Alaska,AK,2,2016,10,326.653288868062
Alaska,AK,2,2016,11,156.183206535785
Alaska,AK,2,2016,12,59.3516362679207
Alaska,AK,2,2017,1,69.0113066460062
Alaska,AK,2,2017,2,348.366303813318
Alaska,AK,2,2017,3,239.076984691248
Alaska,AK,2,2017,4,361.416493094257
Alaska,AK,2,2017,5,281.18107174484
Alaska,AK,2,2017,6,307.53204676629
Alaska,AK,2,2017,7,151.097811278593
Alaska,AK,2,2017,8,121.802771391708
Alaska,AK,2,2017,9,121.374643601292
Alaska,AK,2,2017,10,89.2528039784945
Alaska,AK,2,2017,11,169.428358363068
Alaska,AK,2,2017,12,183.472406341129
Alaska,AK,2,2018,1,144.397586770737
Alaska,AK,2,2018,2,198.253186048644
Alaska,AK,2,2018,3,78.1619339482279
Alaska,AK,2,2018,4,224.787511293566
Alaska,AK,2,2018,5,65.25896210769901
Alaska,AK,2,2018,6,116.901316304799
Alaska,AK,2,2018,7,20.0991251812225
Alaska,AK,2,2018,8,93.2763713328942
Alaska,AK,2,2018,9,208.949868069558
Alaska,AK,2,2018,10,245.642551672024
Alaska,AK,2,2018,11,203.521631366697
Alaska,AK,2,2018,12,99.8293291505842
Alaska,AK,2,2019,1,239.195935794734
Alaska,AK,2,2019,2,203.46311612713
Alaska,AK,2,2019,3,396.222755951651
Alaska,AK,2,2019,4,495.785871814887
Alaska,AK,2,2019,5,452.802765669354
Alaska,AK,2,2019,6,219.946518471976
Alaska,AK,2,2019,7,617.047908314494
Alaska,AK,2,2019,8,579.812991278041
Alaska,AK,2,2019,9,206.748263065889
Alaska,AK,2,2019,10,81.0953268248299
Alaska,AK,2,2019,11,228.180465465924
Alaska,AK,2,2019,12,182.062512082043
Arizona,AZ,4,1999,7,83.2062652778032
Arizona,AZ,4,1999,8,140.706197900116
Arizona,AZ,4,1999,9,164.29372598549
Arizona,AZ,4,1999,10,24.0248720914738
Arizona,AZ,4,1999,11,100.071150968002
Arizona,AZ,4,1999,12,102.156165541356
Arizona,AZ,4,2000,1,100.709187969298
Arizona,AZ,4,2000,2,27.5420687028515
Arizona,AZ,4,2000,3,175.297585703668
Arizona,AZ,4,2000,4,106.30328492082
Arizona,AZ,4,2000,5,200.730443883528
Arizona,AZ,4,2000,6,156.663997649834
Arizona,AZ,4,2000,7,0
Arizona,AZ,4,2000,8,20.8374838212238
Arizona,AZ,4,2000,9,38.1632908068065
Arizona,AZ,4,2000,10,72.8343187108057
Arizona,AZ,4,2000,11,89.1611905808866
Arizona,AZ,4,2000,12,194.866194561272
Arizona,AZ,4,2001,1,18.9896682278641
Arizona,AZ,4,2001,2,123.563724894132
Arizona,AZ,4,2001,3,90.9717665627539
Arizona,AZ,4,2001,4,26.3155866097884
Arizona,AZ,4,2001,5,97.3202572567516
Arizona,AZ,4,2001,6,7.06932281478379
Arizona,AZ,4,2001,7,46.1128409490182
Arizona,AZ,4,2001,8,35.4481123949678
Arizona,AZ,4,2001,9,32.4735211323693
Arizona,AZ,4,2001,10,34.5940863075847
Arizona,AZ,4,2001,11,21.6984477231916
Arizona,AZ,4,2001,12,24.0315160899908
Arizona,AZ,4,2002,1,89.4813217676146
Arizona,AZ,4,2002,2,49.9847100784176
Arizona,AZ,4,2002,3,23.0346094315991
Arizona,AZ,4,2002,4,103.068996255401
Arizona,AZ,4,2002,5,67.0756035790818
Arizona,AZ,4,2002,6,187.289695173007
Arizona,AZ,4,2002,7,68.29889534139269
Arizona,AZ,4,2002,8,33.7671193649591
Arizona,AZ,4,2002,9,95.2256961853703
Arizona,AZ,4,2002,10,66.2068015624826
Arizona,AZ,4,2002,11,30.6378146369602
Arizona,AZ,4,2002,12,46.6368016889296
Arizona,AZ,4,2003,1,38.0490660549294
Arizona,AZ,4,2003,2,46.3155669924164
Arizona,AZ,4,2003,3,98.1309957852983
Arizona,AZ,4,2003,4,72.2172358021043
Arizona,AZ,4,2003,5,36.9885427586773
Arizona,AZ,4,2003,6,100.489411338887
Arizona,AZ,4,2003,7,57.8163656889337
Arizona,AZ,4,2003,8,93.6430654095645
